domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
aliansalud.com.co,aliansalud.com.co,False,False,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:190.217.17.54 ip4:200.31.13.220 include:carvajalcomunicacion.com include:amazonses.com include:spf.mandrillapp.com include:_spfAE.corpmailsvcs.com include:spf.masterbase.com include:spf.protection.outlook.com include:spf1.masivapp.com include:_spf.us.sendclean.net -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,aliansalud.com.co,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.141.241 is mailrnh.corpmailsvcs.com, but the A/AAAA DNS records for mailrnh.corpmailsvcs.com do not resolve to 149.111.141.241",Parsing the SPF record requires 11/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,,,ns1.impsat.net.co|juno.impsat.net.co,,
alliancelakemary.com,alliancelakemary.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('alliancelakemary.com does not have a SPF TXT record ', 'alliancelakemary.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
alohasurgicalcenter.com,alohasurgicalcenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('alohasurgicalcenter.com does not have a SPF TXT record ', 'alohasurgicalcenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
amigofamilycounseling.com,amigofamilycounseling.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,amigofamilycounseling.com,,,,,,,edns4.ultradns.biz|edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org|epla1.corpnamesvcs.com|epla2.corpnamesvcs.com,,
amtsurgerycenter.com,amtsurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('amtsurgerycenter.com does not have a SPF TXT record ', 'amtsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,ns51.domaincontrol.com|ns52.domaincontrol.com,,
anacosta.com.br,anacosta.com.br,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarcuhgbr@uhgbrasil.com.br,reject,"1, mailbr.corpmailsvcs.com",,,v=spf1 ip4:45.172.48.0/22 ip4:129.146.91.38 ip4:129.146.232.229 include:_spfv4.corpmailsvcs.com include:spf.us.exclaimer.net include:spf.protection.outlook.com -all,"v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarcuhgbr@uhgbrasil.com.br",anacosta.com.br,,,,,,"uhgbrasil.com.br does not indicate that it accepts DMARC reports about anacosta.com.br - Authorization record not found: anacosta.com.br._report._dmarc.uhgbrasil.com.br ""                     IN TXT ""v=DMARC1""",dnsext01.amilonline.com.br|dnsext02.amilonline.com.br|dnsext03.amilonline.com.br|dnsext04.amilonline.com.br,,
antelopevalleysurgerycenter.com,antelopevalleysurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('antelopevalleysurgerycenter.com does not have a SPF TXT record ', 'antelopevalleysurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
applecaremedical.com,applecaremedical.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:161.249.187.137 ip4:161.249.187.144 ip4:161.249.187.145 ip4:161.249.187.146 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,applecaremedical.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com,,
archwellhealth.com,archwellhealth.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:noreply@archwellhealth.com,mailto:noreply@archwellhealth.com,none,"0, archwellhealth-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com ip4:66.171.149.100 ip4:66.171.149.99 ip4:54.174.209.165 ip4:13.92.120.77 ip4:13.64.63.63 include:_spf.salesforce.com include:_spf.elasticemail.com -all,v=DMARC1;p=none;pct=100;rua=mailto:noreply@archwellhealth.com;ruf=mailto:noreply@archwellhealth.com,archwellhealth.com,,,,,,,ns11.domaincontrol.com|ns12.domaincontrol.com,,
arisemedicalcenter.com,arisemedicalcenter.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:rua+arisemedicalcenter.com@dmarc.barracudanetworks.com,mailto:ruf+arisemedicalcenter.com@dmarc.barracudanetworks.com,reject,"0, d222021a.ess.barracudanetworks.com|5, d222021b.ess.barracudanetworks.com",,,v=spf1 ip4:24.173.237.213 include:spf.ess.barracudanetworks.com -all,v=DMARC1; p=reject; fo=1; rua=mailto:rua+arisemedicalcenter.com@dmarc.barracudanetworks.com; ruf=mailto:ruf+arisemedicalcenter.com@dmarc.barracudanetworks.com,arisemedicalcenter.com,,,,,,,owen.ns.cloudflare.com|rachel.ns.cloudflare.com,,
ashospital.net,ashospital.net,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('ashospital.net does not have a SPF TXT record', 'ashospital.net'), 'ashospital.net')",,A DMARC record does not exist for this domain or its base domain,,ns31.domaincontrol.com|ns32.domaincontrol.com,,
atlantaoutpatientsurgerycenter.com,atlantaoutpatientsurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('atlantaoutpatientsurgerycenter.com does not have a SPF TXT record ', 'atlantaoutpatientsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,ns57.domaincontrol.com|ns58.domaincontrol.com,,
atriushealth.org,atriushealth.org,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com|mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:unitedhealthgroup@ruf.agari.com|mailto:dmarc_ruf@emaildefense.proofpoint.com,none,"10, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:192.68.157.253 include:invalidemail.com include:_spfae.corpmailsvcs.com -all,"v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com,mailto:dmarc_rua@emaildefense.proofpoint.com;ruf=mailto:unitedhealthgroup@ruf.agari.com,mailto:dmarc_ruf@emaildefense.proofpoint.com",atriushealth.org,,,,,,,edns4.ultradns.org|edns4.ultradns.net|edns4.ultradns.com|edns4.ultradns.biz|epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
banmedica.cl,banmedica.cl,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:186.148.5.235 ip4:186.148.4.131 ip4:186.148.4.130 ip4:186.148.4.138 ip4:20.51.226.27  ip4:200.6.98.104 include:spf.masterbase.com include:fidelizador.org include:spf.protection.outlook.com include:_spfae.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,banmedica.cl,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.205.117 is ovarp0671.corpmailsvcs.com, but the A/AAAA DNS records for ovarp0671.corpmailsvcs.com do not resolve to 149.111.205.117|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.205.25 is ovarp0666.corpmailsvcs.com, but the A/AAAA DNS records for ovarp0666.corpmailsvcs.com do not resolve to 149.111.205.25",,,,,ns1-09.azure-dns.com|ns2-09.azure-dns.net|ns3-09.azure-dns.org|ns4-09.azure-dns.info,,
baseonline.com,baseonline.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 a ip4:192.119.221.34/32 ip4:54.240.38.16/31 ip4:98.129.170.144/32 include:spf.protection.outlook.com include:amazonses.com include:u28631192.wl193.sendgrid.net include:_spfAE.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,baseonline.com,,,,,,,ns2.rackspace.com|ns.rackspace.com,,
benefitter.com,benefitter.com,False,False,False,,,,,,,,,,,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, aspmx.2.google.com|10, aspmx.3.google.com|10, aspmx.4.google.com|10, aspmx.5.google.com",,,v=spf1 include:spf.mandrillapp.com include:_spf.google.com  include:marketo.com include:mktomail.com ~all,,,,The domain aspmx.2.google.com does not exist|The domain aspmx.3.google.com does not exist|The domain aspmx.4.google.com does not exist|The domain aspmx.5.google.com does not exist,Parsing the SPF record requires 14/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,A DMARC record does not exist for this domain or its base domain,,ns-1.awsdns-00.com|ns-1519.awsdns-61.org|ns-1680.awsdns-18.co.uk|ns-878.awsdns-45.net,,
bhoptions.com,bhoptions.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,bhoptions.com,,,,,,,epla2.corpnamesvcs.com|epla1.corpnamesvcs.com,,
birminghamsurgerycenter.com,birminghamsurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('birminghamsurgerycenter.com does not have a SPF TXT record ', 'birminghamsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,ns33.domaincontrol.com|ns34.domaincontrol.com,,
bloomfieldasc.com,bloomfieldasc.com,False,True,False,,,,,,,,,,,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, aspmx2.googlemail.com|10, aspmx3.googlemail.com",,,v=spf1 include:_spf.google.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns09.domaincontrol.com|ns10.domaincontrol.com,,
blueridgesurgerycenter.com,blueridgesurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('blueridgesurgerycenter.com does not have a SPF TXT record ', 'blueridgesurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
brandonsurgerycenter.com,brandonsurgerycenter.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('brandonsurgerycenter.com does not have a SPF TXT record ', 'brandonsurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,ns1.medcity.net|ns2.medcity.net,,
brasssurgerycenter.com,brasssurgerycenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('brasssurgerycenter.com does not have a SPF TXT record ', 'brasssurgerycenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
broslc.com,broslc.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('broslc.com does not have a SPF TXT record ', 'broslc.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
capstonebehavioralhealth.com,capstonebehavioralhealth.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,capstonebehavioralhealth.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org,,
careimprovementplus.com,careimprovementplus.com,False,True,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"10, mail1.corpmailsvcs.com|10, mail10.corpmailsvcs.com|10, mail11.corpmailsvcs.com|10, mail128.corpmailsvcs.com|10, mail131.corpmailsvcs.com|10, mail134.corpmailsvcs.com|10, mail17.corpmailsvcs.com|10, mail2.corpmailsvcs.com|10, mail20.corpmailsvcs.com|10, mail21.corpmailsvcs.com|10, mail27.corpmailsvcs.com|10, mail30.corpmailsvcs.com|10, mail33.corpmailsvcs.com|10, mail36.corpmailsvcs.com|10, mail50.corpmailsvcs.com|10, mail51.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,careimprovementplus.com,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
caremount.com,caremount.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"10, mailrnh.corpmailsvcs.com",,,v=spf1 include:spf.messagelabs.com include:res.cisco.com include:_spfae.corpmailsvcs.com ip4:208.86.168.7 ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,caremount.com,,,,,,,pdns11.domaincontrol.com|pdns12.domaincontrol.com,,
carolinacoastsc.com,carolinacoastsc.com,False,False,False,,,,,,,,,,,"0, d249202a.ess.barracudanetworks.com|10, d249202b.ess.barracudanetworks.com|92, carolinacoastsc-com.mail.protection.outlook.com",,,,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.2 is mail-sn1pr03cu00102.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr03cu00102.inbound.protection.outlook.com do not resolve to 52.101.11.2|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.9 is mail-sn1pr02cu00101.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr02cu00101.inbound.protection.outlook.com do not resolve to 52.101.11.9|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.42.4 is mail-co1pr03cu00104.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-co1pr03cu00104.inbound.protection.outlook.com do not resolve to 52.101.42.4","(MultipleSPFRTXTRecords('carolinacoastsc.com has multiple SPF TXT records )'), 'carolinacoastsc.com')",,A DMARC record does not exist for this domain or its base domain,,ns29.domaincontrol.com|ns30.domaincontrol.com,,
ccbtcolumbus.com,ccbtcolumbus.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"0, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfae.corpmailsvcs.com include:_spf.hushmail.com include:spf.protection.outlook.com ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,ccbtcolumbus.com,,,,,,,epla1.corpnamesvcs.com|epla2.corpnamesvcs.com|edns4.ultradns.biz|edns4.ultradns.com|edns4.ultradns.net|edns4.ultradns.org,,
centromed.cl,centromed.cl,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"1, mailrnh.corpmailsvcs.com",,,v=spf1 a ip4:200.6.100.101 include:_spfae.corpmailsvcs.com include:_spf.google.com include:spf.protection.outlook.com ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com;,centromed.cl,,,,centromed.cl does not have any A/AAAA records,,,ns-cloud-e2.googledomains.com|ns-cloud-e4.googledomains.com|ns-cloud-e1.googledomains.com|ns-cloud-e3.googledomains.com,,
changehealthcare.co.uk,changehealthcare.co.uk,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('changehealthcare.co.uk does not have a SPF TXT record ', 'changehealthcare.co.uk')",,A DMARC record does not exist for this domain or its base domain,,,The resolution lifetime expired after 10.000 seconds: Server Do53:1.1.1.1@53 answered The DNS operation timed out.,
changehealthcare.com,changehealthcare.com,True,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com.,none,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:170.138.32.1 ip4:170.138.220.200 ip4:170.138.0.34 ip4:170.138.16.49 include:_spfae.corpmailsvcs.com include:spf.protection.outlook.com include:spf.z224.zixworks.com include:spf.emd37214.zixworks.com include:_netblocks.eloqua.com include:spf-003a1001.pphosted.com ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com.,changehealthcare.com,,,,,,,adaline.ns.cloudflare.com|casey.ns.cloudflare.com,,
changehealthcare.com.au,changehealthcare.com.au,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('changehealthcare.com.au does not have a SPF TXT record ', 'changehealthcare.com.au')",,A DMARC record does not exist for this domain or its base domain,,ns1.markmonitor.com|ns2.markmonitor.com|ns5.markmonitor.com|ns6.markmonitor.com|ns3.markmonitor.com|ns4.markmonitor.com|ns7.markmonitor.com,,
