domain,owner,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
advancedsurgerycenterclifton.com,UNH,advancedsurgerycenterclifton.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('advancedsurgerycenterclifton.com does not have a SPF TXT record ', 'advancedsurgerycenterclifton.com')",,A DMARC record does not exist for this domain or its base domain,,ns19.domaincontrol.com|ns20.domaincontrol.com,,
advancedsurgerycenternorthernutah.com,UNH,advancedsurgerycenternorthernutah.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('advancedsurgerycenternorthernutah.com does not have a SPF TXT record ', 'advancedsurgerycenternorthernutah.com')",,A DMARC record does not exist for this domain or its base domain,,ns17.domaincontrol.com|ns18.domaincontrol.com,,
advantagemedicalgroup.com,ELV,advantagemedicalgroup.com,False,True,False,,,,,,,,,,,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, alt3.aspmx.l.google.com|10, alt4.aspmx.l.google.com",,,v=spf1 include:dc-aa8e722993._spfm.advantagemedicalgroup.com ~all,,,,2800:3f0:4003:c00::1b does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,ns71.domaincontrol.com|ns72.domaincontrol.com,,
aero-hose.com,BRK,aero-hose.com,True,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:acronis2@aero-hose.com,mailto:dmarc@mailinblue.com,none,"0, aerohose-com01b.mail.protection.outlook.com",,,v=spf1 a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com include:spf.sendinblue.com mx ~all,v=DMARC1; p=none; sp=none; rua=mailto:acronis2@aero-hose.com; ruf=mailto:dmarc@mailinblue.com!10m; rf=afrf; pct=100; ri=86400,aero-hose.com,,,,,,,ns25.worldnic.com|ns26.worldnic.com,,
aetna.com,CVS,aetna.com,True,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:aetna@rua.agari.com,mailto:aetna@ruf.agari.com,reject,"10, usb-smtp-inbound-1.mimecast.com|10, usb-smtp-inbound-2.mimecast.com",,,v=spf1 include:%{d}.4e.spf-protect.agari.com exists:%{i}._i.%{d}._d.espf.agari.com ~all,v=DMARC1;p=reject;fo=1;rua=mailto:aetna@rua.agari.com;ruf=mailto:aetna@ruf.agari.com,aetna.com,,,,,,,ns1.aetna.com|ns2.aetna.com|ns7.aetna.com|a8-67.akam.net|a9-67.akam.net|a1-155.akam.net|a12-65.akam.net|a13-65.akam.net|a16-67.akam.net,,
agcfpa.com,UNH,agcfpa.com,False,True,False,,,,,,,,,,,"0, agcfpa-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.10 is mail-sa9pr03cu00202.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sa9pr03cu00202.inbound.protection.outlook.com do not resolve to 52.101.11.10|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.9 is mail-sn1pr02cu00101.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr02cu00101.inbound.protection.outlook.com do not resolve to 52.101.11.9",,,A DMARC record does not exist for this domain or its base domain,,ns100.worldnic.com|ns99.worldnic.com,,
ahni.com,UNH,ahni.com,False,True,True,r,r,1,none,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,none,"1, mailrnh.corpmailsvcs.com",,,v=spf1 include:_spfv4.corpmailsvcs.com ip4:161.249.150.232 ~all,v=DMARC1; p=none; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,ahni.com,,,,,,,dns1.cscdns.net|dns2.cscdns.net,,
aliansalud.com.co,UNH,aliansalud.com.co,False,False,True,r,r,1,reject,100,a:f:r:f,3600,mailto:unitedhealthgroup@rua.agari.com,mailto:unitedhealthgroup@ruf.agari.com,reject,"0, mailrnh.corpmailsvcs.com",,,v=spf1 ip4:190.217.17.54 ip4:200.31.13.220 include:carvajalcomunicacion.com include:amazonses.com include:spf.mandrillapp.com include:_spfAE.corpmailsvcs.com include:spf.masterbase.com include:spf.protection.outlook.com include:spf1.masivapp.com include:_spf.us.sendclean.net -all,v=DMARC1; p=reject; fo=1; ri=3600; rua=mailto:unitedhealthgroup@rua.agari.com; ruf=mailto:unitedhealthgroup@ruf.agari.com,aliansalud.com.co,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 149.111.141.241 is mailrnh.corpmailsvcs.com, but the A/AAAA DNS records for mailrnh.corpmailsvcs.com do not resolve to 149.111.141.241",Parsing the SPF record requires 11/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,,,ns1.impsat.net.co|juno.impsat.net.co,,
alleghany.com,BRK,alleghany.com,False,True,False,,,,,,,,,,,"10, mx1-us1.ppe-hosted.com|15, mx2-us1.ppe-hosted.com|25, mail2.alleghany.com|35, mail1.alleghany.com",,,v=spf1 mx ip4:192.254.121.248 include:_spf.psm.knowbe4.com include:_phishspf.knowbe4.com a:dispatch-us.ppe-hosted.com ~all,,,,"The reverse DNS of 38.108.192.107 is Mail1.alleghany.com, but the A/AAAA DNS records for Mail1.alleghany.com do not resolve to 38.108.192.107|The reverse DNS of 38.108.192.107 is roundwoodasset.com, but the A/AAAA DNS records for roundwoodasset.com do not resolve to 38.108.192.107|The reverse DNS of 38.108.192.107 is Alleghanycc.com, but the A/AAAA DNS records for Alleghanycc.com do not resolve to 38.108.192.107|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 198.46.104.44 is spam.alleghany.com, but the A/AAAA DNS records for spam.alleghany.com do not resolve to 198.46.104.44",,,"Unrelated TXT records were discovered. These should be removed, as some receivers may not expect to find unrelated TXT records at _dmarc.alleghany.com

v=spf1 mx ip4:192.254.121.248 include:_spf.psm.knowbe4.com include:_phishspf.knowbe4.com ~all",,ns76.worldnic.com|ns75.worldnic.com,,
alliancelakemary.com,UNH,alliancelakemary.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('alliancelakemary.com does not have a SPF TXT record ', 'alliancelakemary.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
alohasurgicalcenter.com,UNH,alohasurgicalcenter.com,False,False,False,,,,,,,,,,,"10, custmx.cscdns.net",,,,,,,"The domain nb-198-58-121-58.tp.nodebalancer.linode.com does not exist|The reverse DNS of 198.58.121.58 is nb-198-58-121-58.tp.nodebalancer.linode.com, but the A/AAAA DNS records for nb-198-58-121-58.tp.nodebalancer.linode.com do not resolve to 198.58.121.58","('alohasurgicalcenter.com does not have a SPF TXT record ', 'alohasurgicalcenter.com')",,A DMARC record does not exist for this domain or its base domain,,dns1.cscdns.net|dns2.cscdns.net,,
altalink.ca,BRK,altalink.ca,True,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:3zgwhxv9@ag.dmarcian.com,,reject,"0, esa1.hc305-52.ca.iphmx.com|0, esa2.hc305-52.ca.iphmx.com",,,v=spf1 mx a:smtp3.altalink.ca a:smtp4.altalink.ca a:mx1.hc305-52.ca.iphmx.com a:mx2.hc305-52.ca.iphmx.com ip4:208.81.8.96 ip4:208.81.8.97 ip4:136.147.131.17 ip4:216.71.130.198 ip4:216.71.134.208 include:spf.protection.outlook.com -all,v=DMARC1; p=reject; pct=100; rua=mailto:3zgwhxv9@ag.dmarcian.com;,altalink.ca,,,,,,,dns1.easydns.com|dns2.easydns.net|dns3.easydns.ca,,
amarillogear.com,BRK,amarillogear.com,False,True,False,,,,,,,,,,,"5, amarillogear-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,"52.101.8.46 does not have any reverse DNS (PTR) records|The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.9.12 is mail-bl0pr05cu00504.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-bl0pr05cu00504.inbound.protection.outlook.com do not resolve to 52.101.9.12",,,A DMARC record does not exist for this domain or its base domain,,ns42.domaincontrol.com|ns41.domaincontrol.com,,
amarillogearjiangsu.com,BRK,amarillogearjiangsu.com,False,True,False,,,,,,,,,,,"1, amarillogearjiangsu-com.mail.protection.partner.outlook.cn",,,v=spf1 include:spf.protection.partner.outlook.cn -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,dns30.hichina.com|dns29.hichina.com,,
amarillogearservice.com,BRK,amarillogearservice.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"('amarillogearservice.com does not have a SPF TXT record ', 'amarillogearservice.com')",,A DMARC record does not exist for this domain or its base domain,,ns11.worldnic.com|ns12.worldnic.com,,
amarillowind.com,BRK,amarillowind.com,False,False,False,,,,,,,,,,,,,,,,,,No MX records found. Is the domain parked?,"(SPFRecordNotFound('amarillowind.com does not have a SPF TXT record', 'amarillowind.com'), 'amarillowind.com')",,A DMARC record does not exist for this domain or its base domain,,ns39.domaincontrol.com|ns40.domaincontrol.com,,
amazon-adsystem.com,AMZN,amazon-adsystem.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,reject,,,,v=spf1 -all,v=DMARC1; p=reject; rua=mailto:report@dmarc.amazon.com; ruf=mailto:report@dmarc.amazon.com,amazon-adsystem.com,,No MX records found. Is the domain parked?,,,,"dmarc.amazon.com does not indicate that it accepts DMARC reports about amazon-adsystem.com - Authorization record not found: amazon-adsystem.com._report._dmarc.dmarc.amazon.com ""                     IN TXT ""v=DMARC1""|dmarc.amazon.com does not indicate that it accepts DMARC reports about amazon-adsystem.com - Authorization record not found: amazon-adsystem.com._report._dmarc.dmarc.amazon.com ""                     IN TXT ""v=DMARC1""",ns2.amzndns.org|ns1.amzndns.com|ns2.amzndns.co.uk|ns1.amzndns.co.uk|ns2.amzndns.net|ns2.amzndns.com|ns1.amzndns.net|ns1.amzndns.org,,
amazon.ae,AMZN,amazon.ae,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.ae,,,,,,,ns2.amzndns.net|ns1.amzndns.co.uk|ns1.amzndns.org|ns2.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.com|ns1.amzndns.com|ns1.amzndns.net,,
amazon.ca,AMZN,amazon.ca,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.ca,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 3.222.250.144 is smtp03.us-east-1.mail-perimeter.amazon.com, but the A/AAAA DNS records for smtp03.us-east-1.mail-perimeter.amazon.com do not resolve to 3.222.250.144",,,,,ns2.amzndns.com|ns2.amzndns.co.uk|ns2.amzndns.org|ns2.amzndns.net|ns1.amzndns.co.uk|ns1.amzndns.org|ns1.amzndns.com|ns1.amzndns.net,,
amazon.cn,AMZN,amazon.cn,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.cn,,,,,,,ns2.amzndns-cn.net|ns1.amzndns-cn.biz|ns1.amzndns-cn.cn|ns1.amzndns-cn.com|ns1.amzndns-cn.net|ns2.amzndns-cn.com|ns2.amzndns-cn.cn|ns2.amzndns-cn.biz,,
amazon.co.uk,AMZN,amazon.co.uk,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.co.uk,,,,,,,ns2.amzndns.com|ns2.amzndns.net|ns1.amzndns.co.uk|ns1.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.org|ns1.amzndns.net|ns1.amzndns.com,,
amazon.com,AMZN,amazon.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"5, amazon-smtp.amazon.com",,,v=spf1 include:spf1.amazon.com include:spf2.amazon.com include:amazonses.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com,,,,,,,ns1.amzndns.co.uk|ns1.amzndns.com|ns1.amzndns.net|ns1.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.com|ns2.amzndns.net|ns2.amzndns.org,,
amazon.com.au,AMZN,amazon.com.au,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.au,,,,,,,ns1.amzndns.co.uk|ns2.amzndns.net|ns1.amzndns.org|ns2.amzndns.org|ns1.amzndns.com|ns1.amzndns.net|ns2.amzndns.com|ns2.amzndns.co.uk,,
amazon.com.be,AMZN,com.be,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.be,,,,,,,ns1.amzndns.co.uk|ns1.amzndns.net|ns2.amzndns.net|ns1.amzndns.org|ns1.amzndns.com|ns2.amzndns.com|ns2.amzndns.co.uk|ns2.amzndns.org,,
amazon.com.br,AMZN,amazon.com.br,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.br,,,,,,,ns1.amzndns.co.uk|ns1.amzndns.net|ns2.amzndns.com|ns2.amzndns.org|ns1.amzndns.org|ns1.amzndns.com|ns2.amzndns.net|ns2.amzndns.co.uk,,
amazon.com.tr,AMZN,amazon.com.tr,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"0, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.com.tr,,,,,,,ns2.amzndns.org|ns1.amzndns.co.uk|ns2.amzndns.co.uk|ns2.amzndns.com|ns1.amzndns.org|ns1.amzndns.com|ns1.amzndns.net|ns2.amzndns.net,,
amazon.de,AMZN,amazon.de,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.de,,,,,,,ns1.amzndns.org|ns2.amzndns.co.uk|ns2.amzndns.com|ns2.amzndns.net|ns2.amzndns.org|ns1.amzndns.co.uk|ns1.amzndns.com|ns1.amzndns.net,,
amazon.eg,AMZN,amazon.eg,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.eg,,,,,,,ns1.amzndns.com|ns1.amzndns.org|ns2.amzndns.com|ns2.amzndns.org|ns2.amzndns.co.uk|ns1.amzndns.net|ns2.amzndns.net|ns1.amzndns.co.uk,,
amazon.es,AMZN,amazon.es,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.es,,,,,,,ns2.amzndns.co.uk|ns1.amzndns.org|ns2.amzndns.org|ns2.amzndns.net|ns2.amzndns.com|ns1.amzndns.net|ns1.amzndns.com|ns1.amzndns.co.uk,,
amazon.fr,AMZN,amazon.fr,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:spf.mandrillapp.com include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.fr,,,,,,,ns1.amzndns.net|ns1.amzndns.org|ns2.amzndns.co.uk|ns1.amzndns.com|ns2.amzndns.org|ns1.amzndns.co.uk|ns2.amzndns.com|ns2.amzndns.net,,
amazon.it,AMZN,amazon.it,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:report@dmarc.amazon.com,mailto:report@dmarc.amazon.com,quarantine,"10, amazon-smtp.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:report@dmarc.amazon.com;ruf=mailto:report@dmarc.amazon.com,amazon.it,,,,,,,ns2.amzndns.org|ns2.amzndns.net|ns2.amzndns.co.uk|ns2.amzndns.com,,
amazon.jp,AMZN,amazon.jp,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:dmarc-reports@bounces.amazon.com,mailto:dmarc-reports@bounces.amazon.com,quarantine,"10, smtp-0101.amazon.com|10, smtp-0102.amazon.com|10, smtp-2101.amazon.com|10, smtp-2102.amazon.com",,,v=spf1 include:amazon.com -all,v=DMARC1; p=quarantine; pct=100; rua=mailto:dmarc-reports@bounces.amazon.com; ruf=mailto:dmarc-reports@bounces.amazon.com,amazon.jp,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 207.171.178.147 is 178-147.amazon.com, but the A/AAAA DNS records for 178-147.amazon.com do not resolve to 207.171.178.147|The domain 178-148.amazon.com does not exist|The reverse DNS of 207.171.178.148 is 178-148.amazon.com, but the A/AAAA DNS records for 178-148.amazon.com do not resolve to 207.171.178.148",,,,"bounces.amazon.com does not indicate that it accepts DMARC reports about amazon.jp - Authorization record not found: amazon.jp._report._dmarc.bounces.amazon.com ""                     IN TXT ""v=DMARC1""|bounces.amazon.com does not indicate that it accepts DMARC reports about amazon.jp - Authorization record not found: amazon.jp._report._dmarc.bounces.amazon.com ""                     IN TXT ""v=DMARC1""",ns2.amzndns.net|ns2.amzndns.co.uk|ns1.amzndns.net|ns2.amzndns.org|ns2.amzndns.com|ns1.amzndns.com|ns1.amzndns.co.uk|ns1.amzndns.org,,
