domain,base_domain,dnssec,spf_valid,dmarc_valid,dmarc_adkim,dmarc_aspf,dmarc_fo,dmarc_p,dmarc_pct,dmarc_rf,dmarc_ri,dmarc_rua,dmarc_ruf,dmarc_sp,mx,tls,starttls,spf_record,dmarc_record,dmarc_record_location,mx_error,mx_warnings,spf_error,spf_warnings,dmarc_error,dmarc_warnings,ns,ns_error,ns_warnings
ameritrack.com,ameritrack.com,True,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:wejqipgb@ag.us.dmarcian.com,,reject,"0, ameritrack-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com ip4:199.246.211.132 ip4:192.254.121.248 include:_phishspf.knowbe4.com exists:%{i}.spf.hc2759-0.iphmx.com ~all,v=DMARC1; p=reject; rua=mailto:wejqipgb@ag.us.dmarcian.com;,ameritrack.com,,,,,,,rosa.ns.cloudflare.com|carmelo.ns.cloudflare.com,,
andersonfittings.com,andersonfittings.com,False,True,False,,,,,,,,,,,"0, andersonfittings-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns35.domaincontrol.com|ns36.domaincontrol.com,,
angelopo.com,angelopo.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,,,none,"1, aspmx.l.google.com|5, alt1.aspmx.l.google.com|5, alt2.aspmx.l.google.com|10, aspmx2.googlemail.com|10, aspmx3.googlemail.com",,,v=spf1 include:_spf.google.com ~all,v=DMARC1; p=none;,angelopo.com,,,,,,rua tag (destination for aggregate reports) not found,ns90.worldnic.com|ns89.worldnic.com,,
apemissions.com,apemissions.com,False,True,False,,,,,,,,,,,"10, apemissions-com.mail.protection.outlook.com",,,v=spf1 a mx ptr a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com ~all,,,,52.101.9.17 does not have any reverse DNS (PTR) records,,The ptr mechanism should not be used - https://tools.ietf.org/html/rfc7208#section-5.5,A DMARC record does not exist for this domain or its base domain,,ns36.worldnic.com|ns35.worldnic.com,,
apexitool.net,apexitool.net,False,True,False,,,,,,,,,,,"1, mx.c1.icoremail.net|10, mx2.c1.icoremail.net",,,v=spf1 include:spf.icoremail.net -all,,,,59.111.193.101 does not have any reverse DNS (PTR) records|59.111.193.102 does not have any reverse DNS (PTR) records|59.111.193.103 does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,dns19.hichina.com|dns20.hichina.com,,
atlasfasteners.com,atlasfasteners.com,False,True,False,,,,,,,,,,,"0, mx1-us1.ppe-hosted.com|10, mx2-us1.ppe-hosted.com",,,v=spf1 ip4:24.154.167.15 ip4:24.154.167.16 include:spf.protection.outlook.com a:dispatch-us.ppe-hosted.com -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,cruz.ns.cloudflare.com|leland.ns.cloudflare.com,,
benbridge.com,benbridge.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:phishing@benbridge.com,,quarantine,"0, benbridge-com.mail.protection.outlook.com",,,v=spf1 mx a ip4:4.16.175.147 ip4:4.16.175.149 ip4:64.124.26.53 ip4:64.124.26.50 ip4:185.90.21.45 ip4:205.168.83.2 ip4:204.144.128.248 ip4:198.21.4.52 ip4:198.2.132.12 include:amazonses.com include:ultipro.com include:spf.protection.outlook.com -all,v=DMARC1;p=quarantine;pct=100;rua=mailto:phishing@benbridge.com,benbridge.com,,,,,,,ns10.dnsmadeeasy.com|ns11.dnsmadeeasy.com|ns14.dnsmadeeasy.com|ns13.dnsmadeeasy.com|ns12.dnsmadeeasy.com|ns15.dnsmadeeasy.com,,
benjaminmoore.com,benjaminmoore.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarc_rua@emaildefense.proofpoint.com|mailto:itoperations@benjaminmoore.com|mailto:infosec@benjaminmoore.com,mailto:dmarc_rua@emaildefense.proofpoint.com|mailto:itoperations@benjaminmoore.com|mailto:infosec@benjaminmoore.com,none,"10, mxa-00327b01.gslb.pphosted.com|10, mxb-00327b01.gslb.pphosted.com",,,v=spf1 ip4:207.166.95.11 ip4:157.133.232.78 ip4:207.166.92.11 ip4:207.166.95.11 ip4:207.166.101.207 ip4:207.166.104.207 ip4:157.133.232.79 ip4:157.133.232.80 ip4:170.90.8.112 ip4:170.90.8.63 ip4:184.173.153.199 include:spf.protection.outlook.com  include:spf-00327b01.pphosted.com include:customers.clickdimensions.com -all ,"v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:itoperations@benjaminmoore.com,mailto:infosec@benjaminmoore.com; ruf=mailto:dmarc_rua@emaildefense.proofpoint.com,mailto:itoperations@benjaminmoore.com,mailto:infosec@benjaminmoore.com;",benjaminmoore.com,,,,Any text after the all mechanism is ignored,,Some DMARC reporters might not send to more than two rua URIs|Some DMARC reporters might not send to more than two ruf URIs,a6-64.akam.net|a11-64.akam.net|a24-65.akam.net|a12-67.akam.net|a9-65.akam.net|a1-138.akam.net,,
berkadia.com,berkadia.com,False,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:6587595f1f7d.a@dmarcinput.com|mailto:dmarc_agg@dmarc.everest.email,mailto:6587595f1f7d.f@dmarcinput.com|mailto:dmarc_fr@dmarc.everest.email,none,"0, berkadia-com.mail.protection.outlook.com|10, berkadia-com.mx1.arsmtp.com|20, berkadia-com.mx2.arsmtp.com",,,v=spf1 include:_s00429919.autospf.email ~all,"v=DMARC1; p=none; sp=none; rua=mailto:6587595f1f7d.a@dmarcinput.com,mailto:dmarc_agg@dmarc.everest.email; ruf=mailto:6587595f1f7d.f@dmarcinput.com,mailto:dmarc_fr@dmarc.everest.email; fo=1",berkadia.com,,,,,,,ns1-02.azure-dns.com|ns2-02.azure-dns.net|ns3-02.azure-dns.org|ns4-02.azure-dns.info,,
berkshirehathaway.com,berkshirehathaway.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,,,reject,"5, berkshirehathaway-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,v=DMARC1;p=reject,berkshirehathaway.com,,,,,,rua tag (destination for aggregate reports) not found,ns9.worldnic.com|ns10.worldnic.com,,
berkshirehathawayautomotive.com,berkshirehathawayautomotive.com,False,True,False,,,,,,,,,,,"10, mxa-001ea403.gslb.pphosted.com|10, mxb-001ea403.gslb.pphosted.com",,,v=spf1 include:_spf.dealersocket.com mx a ip4:209.11.204.140 ip4:209.11.204.141 include:spf-001ea403.pphosted.com ~all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns65.domaincontrol.com|ns66.domaincontrol.com,,
bhhs.com,bhhs.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarc@BHHS.com,mailto:dmarc@BHHS.com,none,"0, bhhs-com.mail.protection.outlook.com|5, smtp.secureserver.net|10, mailstore1.secureserver.net",,,v=spf1 include:et._spf.pardot.com include:spf.protection.outlook.com ip4:208.93.240.0/24 ~all,v=DMARC1; p=none; rua=mailto:dmarc@BHHS.com; ruf=mailto:dmarc@BHHS.com;,bhhs.com,,,,,,,pdns09.domaincontrol.com|pdns10.domaincontrol.com,,
bhhscancun.com,bhhscancun.com,False,False,False,,,,,,,,,,,"0, mail.bhhscancun.com",,,v=spf1 a mx include:websitewelcome.com ~all,,,,"The domain 162-241-62-221.unifiedlayer.com does not exist|The reverse DNS of 162.241.62.221 is 162-241-62-221.unifiedlayer.com, but the A/AAAA DNS records for 162-241-62-221.unifiedlayer.com do not resolve to 162.241.62.221",Parsing the SPF record requires 12/10 maximum DNS lookups - https://tools.ietf.org/html/rfc7208#section-4.6.4,,A DMARC record does not exist for this domain or its base domain,,nspro30.hostgator.mx|nspro31.hostgator.mx,,
bhlife.com,bhlife.com,False,False,False,,,,,,,,,,,"10, mail1.resmsl.co.uk|20, mail2.resmsl.co.uk",,,,,,,"The reverse DNS of 84.16.189.135 is mail.resolutemanagement.com, but the A/AAAA DNS records for mail.resolutemanagement.com do not resolve to 84.16.189.135","('bhlife.com does not have a SPF TXT record ', 'bhlife.com')",,A DMARC record does not exist for this domain or its base domain,,ns1.phase8.net|ns0.phase8.net|ns2.phase8.net,,
bhspecialty.com,bhspecialty.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:d@bhspecialty.com,,none,"0, bhsi-mx1.poweredbytbl.net",,,v=spf1 ip4:12.148.160.133 ip4:38.99.37.196 include:spf.protection.outlook.com -all,v=DMARC1; p=none; rua=mailto:d@bhspecialty.com; sp=none,bhspecialty.com,,,,,,,buck.ns.cloudflare.com|tara.ns.cloudflare.com,,
bigtimberfasteners.com,bigtimberfasteners.com,False,True,False,,,,,,,,,,,"1, bigtimberfasteners-com.mail.protection.outlook.com",,,v=spf1 include:secureserver.net include:spf.protection.outlook.com -all,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 104.47.73.10 is mail-dm6nam080010.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-dm6nam080010.inbound.protection.outlook.com do not resolve to 104.47.73.10",,Duplicate include: spf.protection.outlook.com,A DMARC record does not exist for this domain or its base domain,,ns1.mediatemple.net|ns2.mediatemple.net,,
blok-lok.com,blok-lok.com,False,True,False,,,,,,,,,,,"10, bloklok-com01b.mail.protection.outlook.com",,,v=spf1 ip4:198.24.162.149 +a +mx +ip4:198.24.162.150 +ip4:68.171.151.194 +ip4:173.251.16.210 +include:spf.protection.outlook.com -all,,,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 52.101.11.3 is mail-sn1pr0501cu00103.inbound.protection.outlook.com, but the A/AAAA DNS records for mail-sn1pr0501cu00103.inbound.protection.outlook.com do not resolve to 52.101.11.3|52.101.9.17 does not have any reverse DNS (PTR) records",,,A DMARC record does not exist for this domain or its base domain,,ns2.inmotionhosting.com|ns.inmotionhosting.com,,
bnsf.com,bnsf.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:dmarc_agg@vali.email|mailto:techsvcsdldmarcalerts@bnsf.com,mailto:techsvcsdldmarcalerts@bnsf.com,none,"10, mail1.bnsf.com|10, mail2.bnsf.com",,,v=spf1 include:%{i}._ip.%{h}._ehlo.%{d}._spf.vali.email ~all,"v=DMARC1; p=none; rua=mailto:dmarc_agg@vali.email,mailto:techsvcsdldmarcalerts@bnsf.com; ruf=mailto:techsvcsdldmarcalerts@bnsf.com",bnsf.com,,"The reverse DNS of 170.49.49.126 is mail2.bnsf.com, but the A/AAAA DNS records for mail2.bnsf.com do not resolve to 170.49.49.126",,,,,pdns82.ultradns.net|pdns82.ultradns.org|pdns82.ultradns.biz|pdns82.ultradns.com|ns3.ultradns2.com|ns3.ultradns2.org,,
borsheims.com,borsheims.com,False,True,True,r,r,1,quarantine,100,a:f:r:f,86400,mailto:rua@borsheims.com,mailto:ruf@borsheims.com,quarantine,"10, mx1-us2.ppe-hosted.com|10, mx2-us2.ppe-hosted.com",,,v=spf1 a:deda306.mivamerchant.net a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com ~all,v=DMARC1; p=quarantine; pct=100; rua=mailto:rua@borsheims.com; ruf=mailto:ruf@borsheims.com; fo=1,borsheims.com,,,,,,,donna.ns.cloudflare.com|nile.ns.cloudflare.com,,
brick.com,brick.com,False,True,True,r,r,1,reject,100,a:f:r:f,86400,mailto:0638223dcb66177@rep.dmarcanalyzer.com,mailto:0638223dcb66177@for.dmarcanalyzer.com,reject,"10, us-smtp-inbound-1.mimecast.com|10, us-smtp-inbound-2.mimecast.com",,,v=spf1 ip4:71.14.149.197 include:us._netblocks.mimecast.com -all,v=DMARC1; p=reject; rua=mailto:0638223dcb66177@rep.dmarcanalyzer.com; ruf=mailto:0638223dcb66177@for.dmarcanalyzer.com; fo=1;,brick.com,,,,,,,ns47.domaincontrol.com|ns48.domaincontrol.com,,
brkenergy.com,brkenergy.com,False,True,True,r,r,0,reject,100,a:f:r:f,86400,mailto:dmarc@brkenergy.com|mailto:3zgwhxv9@ag.dmarcian.com,mailto:dmarc@brkenergy.com,reject,"10, brkenergy-com.mail.protection.outlook.com",,,v=spf1 ip4:131.219.200.5 ip4:131.219.200.9 ip4:206.108.233.0/27 ip4:206.108.235.224/27 ip4:204.124.195.248 include:spf.protection.outlook.com -all,"v=DMARC1; p=reject; rua=mailto:dmarc@brkenergy.com,mailto:3zgwhxv9@ag.dmarcian.com; ruf=mailto:dmarc@brkenergy.com; rf=afrf; ri=86400",brkenergy.com,,52.101.9.17 does not have any reverse DNS (PTR) records,,,,,ns4.midamerican.com|ns3.midamerican.com,,
brooksrunning.com,brooksrunning.com,False,False,True,r,r,0,none,100,a:f:r:f,86400,mailto:Aggregate.Feedback@brooksrunning.com,,none,"10, us-smtp-inbound-1.mimecast.com|10, us-smtp-inbound-2.mimecast.com",,,v=spf1 a:mx1.trustit.eu a:production.na02.brooks.demandware.net include:us._netblocks.mimecast.com include:us01.oc.demandware.net include:us02.oc.demandware.net include:sendgrid.net include:_spf.atlassian.net -all,v=DMARC1; p=none; pct=100; rua=mailto:Aggregate.Feedback@brooksrunning.com;,brooksrunning.com,,,"('The domain us02.oc.demandware.net does not exist', 'us02.oc.demandware.net')",,,,authns2.qwest.net|ns1.fusenetworks.com|authns1.qwest.net,,
brrflow.com,brrflow.com,False,True,False,,,,,,,,,,,"10, brrflow.com.1.0001.arsmtp.com|20, brrflow.com.2.0001.arsmtp.com",,,v=spf1 ip4:50.249.206.49 ip4:66.11.195.20 ip4:168.245.1.42 ip4:149.72.173.189 ip4:149.72.195.148 include:brrflow-com.spf.smtp25.com include:spf.protection.outlook.com include:spf.smtp2go.com include:secureserver.net include:sendgrid.net ~all,,,,,,Duplicate include: spf.protection.outlook.com,A DMARC record does not exist for this domain or its base domain,,ns53.domaincontrol.com|ns54.domaincontrol.com,,
businesswire.com,businesswire.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:mail.admin@businesswire.com,mailto:mail.admin@businesswire.com,quarantine,"0, businesswire-com.mail.protection.outlook.com",,,v=spf1 ip4:104.129.65.3 ip4:104.129.65.4 ip4:12.217.163.67 ip4:136.147.182.0/24 ip4:137.236.253.0/24 ip4:148.105.8.0/21 ip4:167.89.31.152/29 ip4:198.1.29.130 ip4:198.2.128.0/18 ip4:198.2.128.0/24 ip4:198.2.132.0/22 ip4:198.2.136.0/23 ip4:198.2.177.0/24 ip4:198.2.178.0/24 ip4:198.2.179.0/24 ip4:198.2.180.0/24 ip4:198.2.186.0/23 ip4:199.127.232.0/22 ip4:199.255.192.0/22 ip4:204.8.172.0/22 ip4:205.183.255.0/24 ip4:205.201.128.0/20 ip4:205.201.131.128/25 ip4:205.201.134.128/25 ip4:205.201.136.0/23 ip4:205.201.139.0/24 ip4:208.28.117.0/24 ip4:209.222.80.0/21 ip4:38.105.5.102 ip4:38.105.5.112 ip4:38.108.108.160/27 ip4:50.18.121.236 ip4:50.18.121.248 ip4:50.18.123.221 ip4:50.18.124.70 ip4:50.18.125.237 ip4:50.18.125.97 ip4:50.18.126.162 ip4:50.18.45.249 ip4:50.31.44.110/31 ip4:52.200.40.144 ip4:52.44.86.138 ip4:52.5.15.199 ip4:52.54.103.199 ip4:52.54.88.164 ip4:52.55.6.107 ip4:54.174.52.136/31 ip4:54.174.52.180/31 ip4:54.174.52.226/31 ip4:54.174.52.5 ip4:54.174.52.92/31 ip4:54.240.0.0/18 ip4:64.235.144.0/20 ip4:130.117.41.147 ip4:130.117.41.148 ip4:8.42.25.0/30 ip4:108.166.45.120 ip4:50.31.43.169 ip4:91.209.245.177 ip4:91.209.245.178 ip4:149.72.231.47 include:spf.protection.outlook.com include:spf.termsync.com include:eskerondemand.com include:3475422.spf04.hubspotemail.net include:_spf.q4press.com include:amazonses.com include:_spf.salesforce.com ~all,v=DMARC1; p=quarantine; rua=mailto:mail.admin@businesswire.com; ruf=mailto:mail.admin@businesswire.com; sp=quarantine; ri=86400,businesswire.com,,52.101.8.36 does not have any reverse DNS (PTR) records,,,,,ns22.businesswire.com|ns111.businesswire.com|a1-93.akam.net|a20-64.akam.net|a13-65.akam.net|a11-64.akam.net|a16-66.akam.net|a2-67.akam.net,,
cablecomponents.com,cablecomponents.com,False,True,False,,,,,,,,,,,"20, mx1-us1.ppe-hosted.com|30, mx2-us1.ppe-hosted.com",,,v=spf1 +mx +a +ip4:92.204.133.120 +include:spf.protection.outlook.com a:dispatch-us.ppe-hosted.com -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,ns59.domaincontrol.com|ns60.domaincontrol.com,,
calenergyresources.com,calenergyresources.com,True,True,True,r,r,1,none,100,a:f:r:f,86400,mailto:f735a0b06849169@rep.dmarcanalyzer.com,mailto:f735a0b06849169@for.dmarcanalyzer.com,none,"10, eu-smtp-inbound-1.mimecast.com|10, eu-smtp-inbound-2.mimecast.com",,,v=spf1 ip4:59.191.228.9 ip4:180.216.12.115 ip4:67.231.157.26 ip4:67.231.149.26 ip4:195.130.217.0/24 ip4:91.220.42.0/24 ip4:185.58.84.0/24 ip4:185.58.85.0/24 ip4:185.58.86.0/24 ip4:185.58.87.0/24 ip4:146.101.78.0/24 ip4:207.82.80.0/24 include:spf.protection.outlook.com include:_netblocks.mimecast.com include:_phishspf.knowbe4.com -all,v=DMARC1; p=none; rua=mailto:f735a0b06849169@rep.dmarcanalyzer.com; ruf=mailto:f735a0b06849169@for.dmarcanalyzer.com; fo=1;,calenergyresources.com,,"The resolution lifetime expired after 2.000 seconds: Server Do53:10.23.1.99@53 answered The DNS operation timed out.|The reverse DNS of 195.130.217.241 is eu-smtp-inbound-1.mimecast.com, but the A/AAAA DNS records for eu-smtp-inbound-1.mimecast.com do not resolve to 195.130.217.241",,,,,brad.ns.cloudflare.com|wanda.ns.cloudflare.com,,
cannonequipment.com,cannonequipment.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:dmarcreports@cannonequipment.com,,quarantine,"10, us-smtp-inbound-1.mimecast.com|10, us-smtp-inbound-2.mimecast.com",,,v=spf1 ip4:50.124.203.34 include:spf.protection.outlook.com include:_netblocks.mimecast.com a:hybrid.cannonequipment.com include:amazonses.com ~all,v=DMARC1;p=quarantine;rua=mailto:dmarcreports@cannonequipment.com;pct=100;aspf=r,cannonequipment.com,,,,,,,ns67.worldnic.com|ns68.worldnic.com,,
catequip.com,catequip.com,False,True,False,,,,,,,,,,,"0, catequip-com.mail.protection.outlook.com",,,v=spf1 ip4:93.17.23.106 include:spf.protection.outlook.com -all,,,,,,,A DMARC record does not exist for this domain or its base domain,,hybrid1038.fr.ns.planethoster.net|hybrid1038-1.fr.ns.planethoster.net,,
ccpi-europe.com,ccpi-europe.com,False,True,True,r,r,0,quarantine,100,a:f:r:f,86400,mailto:it@ccpi-europe.com,mailto:it@ccpi-europe.com,quarantine,"10, mx1-us1.ppe-hosted.com|15, mx2-us1.ppe-hosted.com",,,v=spf1 include:spf.protection.outlook.com mx ip4:160.153.162.10 a:dispatch-us.ppe-hosted.com -all,v=DMARC1; p=quarantine; rua=mailto:it@ccpi-europe.com; ruf=mailto:it@ccpi-europe.com,ccpi-europe.com,,,,,,,ns69.domaincontrol.com|ns70.domaincontrol.com,,
cerro-ems.com,cerro-ems.com,False,True,False,,,,,,,,,,,"0, eu-smtp-inbound-1.mimecast.com|10, eu-smtp-inbound-2.mimecast.com",,,v=spf1 ip4:82.148.58.24/29 ip4:82.148.63.40/29 include:_netblocks.mimecast.com include:spf.protection.outlook.com -all  ,,,,,,Any text after the all mechanism is ignored,A DMARC record does not exist for this domain or its base domain,,ns1-09.azure-dns.com|ns2-09.azure-dns.net|ns3-09.azure-dns.org|ns4-09.azure-dns.info,,
cerro.com,cerro.com,False,True,False,,,,,,,,,,,"0, cerro-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com -all,,,,52.101.8.36 does not have any reverse DNS (PTR) records,,,A DMARC record does not exist for this domain or its base domain,,ns95.worldnic.com|ns96.worldnic.com,,
cerrofabricated.com,cerrofabricated.com,False,True,False,,,,,,,,,,,"0, mx1-us1.ppe-hosted.com|0, mx2-us1.ppe-hosted.com|10, cerrofabricated-com.mail.protection.outlook.com",,,v=spf1 a mx ip4:209.145.85.196 ip4:209.145.85.196 a:mail.cerrofabricated.com mx:cerrofabricated.com.inbound10.mxlogic.net mx:cerrofabricated.com.inbound10.mxlogicmx.net a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com ~all,,,,,,cerrofabricated.com.inbound10.mxlogic.net does not have any MX records|cerrofabricated.com.inbound10.mxlogicmx.net does not have any MX records,A DMARC record does not exist for this domain or its base domain,,ns18.worldnic.com|ns17.worldnic.com,,
cerroflow.com,cerroflow.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,mailto:it+dmarc@cerroflow.com,,none,"0, cerroflow-com.mail.protection.outlook.com",,,v=spf1 include:spf.protection.outlook.com ip4:71.14.205.200/32 ip4:65.255.157.150/32 -all,v=DMARC1; p=none; rua=mailto:it+dmarc@cerroflow.com; pct=100,cerroflow.com,,,,,,,ns5.worldnic.com|ns6.worldnic.com,,
cerrowire.com,cerrowire.com,False,True,True,r,r,0,none,100,a:f:r:f,86400,,,none,"10, mx1-us1.ppe-hosted.com|20, mx2-us1.ppe-hosted.com",,,v=spf1 ip4:208.40.204.46 ip4:149.72.147.186 ip4:167.89.101.239 ip4:168.245.40.44 ip4:142.0.180.120  a:dispatch-us.ppe-hosted.com include:spf.protection.outlook.com include:spf.emailsignatures365.com,v=DMARC1; p=none; pct=100,cerrowire.com,,,,,,rua tag (destination for aggregate reports) not found,ns12.worldnic.com|ns11.worldnic.com,,
